immatriculation,type_engin,marque,annee_mise_en_service,age_vehicule_ans,departement_affectation,km_parcourus_estimes,etat_general,assureur
PRT-0001-BJ,Pelle hydraulique,Caterpillar,2013,11,Atlantique,202000,Bon,SOBAC
PRT-0002-BJ,Bulldozer,Hitachi,2007,17,Collines,307000,Moyen,Allianz Bénin
PRT-0003-BJ,Camion benne,Mercedes-Benz,2022,2,Littoral,73000,Bon,SOBAC
PRT-0004-BJ,Niveleuse,Volvo CE,2019,5,Zou,76000,Moyen,BGFA Bénin
PRT-0005-BJ,Camion citerne,FOTON,2015,9,Atlantique,360000,Moyen,SAAR-Bénin
PRT-0006-BJ,Camion benne,FOTON,2008,16,Ouémé,379000,Moyen,BGFA Bénin
PRT-0007-BJ,Camion benne,SHACMAN,2022,2,Littoral,55000,Bon,NSIA Bénin
PRT-0008-BJ,Niveleuse,SANY,2011,13,Borgou,292000,Moyen,BGFA Bénin
PRT-0009-BJ,Véhicule léger 4x4,Toyota,2012,12,Atacora,358000,Moyen,SOBAC
PRT-0010-BJ,Grue mobile,Liebherr,2016,8,Ouémé,304000,Moyen,SOBAC
PRT-0011-BJ,Pelle hydraulique,Liebherr,2022,2,Borgou,41000,Bon,UAB
PRT-0012-BJ,Véhicule léger 4x4,Land Rover,2022,2,Atlantique,51000,Bon,BGFA Bénin
PRT-0013-BJ,Camion citerne,Mercedes-Benz,2012,12,Alibori,338000,Mauvais,SAAR-Bénin
PRT-0014-BJ,Camion benne,SINO TRUCK,2011,13,Collines,585000,Mauvais,SOBAC
PRT-0015-BJ,Véhicule léger 4x4,Ford,2009,15,Atlantique,354000,Mauvais,SOBAC
PRT-0016-BJ,Compacteur,JCB,2016,8,Atlantique,254000,Mauvais,UAB
PRT-0017-BJ,Camion benne,Mercedes-Benz,2008,16,Littoral,597000,Moyen,UAB
PRT-0018-BJ,Compacteur,JCB,2017,7,Collines,163000,Bon,COLINA
PRT-0019-BJ,Chargeur,Caterpillar,2008,16,Borgou,380000,Mauvais,BGFA Bénin
PRT-0020-BJ,Pelle hydraulique,Komatsu,2014,10,Ouémé,387000,Moyen,SOBAC
PRT-0021-BJ,Camion benne,FAW,2010,14,Zou,497000,Moyen,SAAR-Bénin
PRT-0022-BJ,Grue mobile,Hitachi,2011,13,Littoral,425000,Mauvais,BGFA Bénin
PRT-0023-BJ,Camion malaxeur béton,Mercedes-Benz,2015,9,Plateau,242000,Bon,BGFA Bénin
PRT-0024-BJ,Camion citerne,DAF,2006,18,Atlantique,316000,Mauvais,NSIA Bénin
PRT-0025-BJ,Bulldozer,Komatsu,2022,2,Borgou,38000,Bon,SOBAC
PRT-0026-BJ,Véhicule léger 4x4,Mitsubishi,2010,14,Atlantique,404000,Mauvais,Allianz Bénin
PRT-0027-BJ,Camion malaxeur béton,DAF,2014,10,Ouémé,272000,Moyen,UAB
PRT-0028-BJ,Chargeur,Doosan,2008,16,Atlantique,251000,Moyen,COLINA
PRT-0029-BJ,Niveleuse,Volvo CE,2005,19,Littoral,428000,Mauvais,NSIA Bénin
PRT-0030-BJ,Camion malaxeur béton,SINO TRUCK,2007,17,Zou,525000,Moyen,Allianz Bénin
PRT-0031-BJ,Niveleuse,Doosan,2012,12,Borgou,255000,Mauvais,NSIA Bénin
PRT-0032-BJ,Camion benne,FOTON,2016,8,Ouémé,311000,Moyen,NSIA Bénin
PRT-0033-BJ,Pelle hydraulique,Komatsu,2006,18,Ouémé,778000,Moyen,NSIA Bénin
PRT-0034-BJ,Camion benne,DAF,2022,2,Plateau,58000,Bon,Allianz Bénin
PRT-0035-BJ,Camion benne,DAF,2007,17,Plateau,562000,Mauvais,NSIA Bénin
PRT-0036-BJ,Camion benne,FAW,2005,19,Mono,813000,Mauvais,Allianz Bénin
PRT-0037-BJ,Camion benne,SHACMAN,2020,4,Atlantique,68000,Bon,Allianz Bénin
PRT-0038-BJ,Véhicule léger 4x4,Isuzu,2013,11,Donga,268000,Mauvais,UAB
PRT-0039-BJ,Pelle hydraulique,Hitachi,2020,4,Littoral,68000,Bon,COLINA
PRT-0040-BJ,Bulldozer,Caterpillar,2015,9,Littoral,283000,Moyen,BGFA Bénin
PRT-0041-BJ,Niveleuse,Caterpillar,2021,3,Littoral,63000,Bon,NSIA Bénin
PRT-0042-BJ,Compacteur,Volvo CE,2017,7,Littoral,161000,Moyen,COLINA
PRT-0043-BJ,Compacteur,Komatsu,2018,6,Collines,152000,Bon,SAAR-Bénin
PRT-0044-BJ,Camion benne,SINO TRUCK,2012,12,Atlantique,434000,Bon,SAAR-Bénin
PRT-0045-BJ,Véhicule léger 4x4,Toyota,2005,19,Plateau,347000,Mauvais,NSIA Bénin
PRT-0046-BJ,Niveleuse,Hitachi,2013,11,Littoral,190000,Moyen,Allianz Bénin
PRT-0047-BJ,Véhicule léger 4x4,Nissan,2019,5,Alibori,175000,Moyen,BGFA Bénin
PRT-0048-BJ,Pelle hydraulique,Caterpillar,2022,2,Atlantique,73000,Bon,NSIA Bénin
PRT-0049-BJ,Camion malaxeur béton,Volvo,2013,11,Littoral,364000,Bon,Allianz Bénin
PRT-0050-BJ,Camion benne,DAF,2015,9,Atlantique,213000,Moyen,COLINA
PRT-0051-BJ,Niveleuse,Caterpillar,2007,17,Collines,280000,Mauvais,NSIA Bénin
PRT-0052-BJ,Véhicule léger 4x4,Nissan,2013,11,Littoral,419000,Moyen,UAB
PRT-0053-BJ,Compacteur,Komatsu,2007,17,Donga,338000,Mauvais,COLINA
PRT-0054-BJ,Camion benne,SINO TRUCK,2022,2,Littoral,38000,Bon,NSIA Bénin
PRT-0055-BJ,Véhicule léger 4x4,Toyota,2016,8,Atlantique,147000,Moyen,SAAR-Bénin
PRT-0056-BJ,Camion citerne,FOTON,2009,15,Donga,305000,Moyen,BGFA Bénin
PRT-0057-BJ,Camion citerne,FOTON,2005,19,Littoral,772000,Mauvais,UAB
PRT-0058-BJ,Camion citerne,DAF,2013,11,Littoral,303000,Mauvais,BGFA Bénin
PRT-0059-BJ,Camion benne,SHACMAN,2012,12,Littoral,317000,Mauvais,SAAR-Bénin
PRT-0060-BJ,Grue mobile,Volvo CE,2012,12,Littoral,309000,Bon,SAAR-Bénin
PRT-0061-BJ,Chargeur,XCMG,2016,8,Collines,341000,Moyen,COLINA
PRT-0062-BJ,Véhicule léger 4x4,Toyota,2008,16,Atacora,544000,Moyen,SAAR-Bénin
PRT-0063-BJ,Camion benne,FOTON,2016,8,Borgou,279000,Moyen,COLINA
PRT-0064-BJ,Camion benne,DAF,2013,11,Littoral,352000,Moyen,BGFA Bénin
PRT-0065-BJ,Niveleuse,Volvo CE,2016,8,Ouémé,207000,Mauvais,COLINA
PRT-0066-BJ,Véhicule léger 4x4,Toyota,2014,10,Zou,257000,Moyen,UAB
PRT-0067-BJ,Pelle hydraulique,Hitachi,2009,15,Littoral,411000,Mauvais,SOBAC
PRT-0068-BJ,Bulldozer,Liebherr,2014,10,Ouémé,250000,Mauvais,SAAR-Bénin
PRT-0069-BJ,Camion benne,SINO TRUCK,2019,5,Plateau,159000,Bon,UAB
PRT-0070-BJ,Camion citerne,Volvo,2007,17,Atlantique,600000,Mauvais,SAAR-Bénin
PRT-0071-BJ,Camion benne,DAF,2014,10,Atlantique,158000,Bon,NSIA Bénin
