2026-05-28 01:01:40 | ERROR | config:test_connection:58 | ❌ Erreur de connexion PostgreSQL: 'utf-8' codec can't decode byte 0xe9 in position 103: invalid continuation byte
2026-05-28 01:09:18 | INFO | config:test_connection:55 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 14:35:28 | INFO | config:test_connection:55 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 14:42:02 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 14:52:02 | ERROR | extract:extract_auto_sinistres:23 | Erreur extraction auto: [Errno 2] No such file or directory: 'C:\\Users\\ADMIN\\Documents\\projet_memoire_master_btp\\data\\raw\\dataset_analytique.csv'
2026-05-28 14:52:14 | ERROR | extract:extract_auto_sinistres:23 | Erreur extraction auto: [Errno 2] No such file or directory: 'C:\\Users\\ADMIN\\Documents\\projet_memoire_master_btp\\data\\raw\\dataset_analytique.csv'
2026-05-28 15:06:43 | ERROR | extract:extract_auto_sinistres:23 | Erreur extraction auto: [Errno 2] No such file or directory: 'C:\\Users\\ADMIN\\Documents\\projet_memoire_master_btp\\data\\raw\\dataset_analytique.csv'
2026-05-28 15:15:51 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 15:15:51 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 15:16:40 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 15:22:32 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 15:22:32 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 2 lignes
2026-05-28 15:23:45 | INFO | run_etl:main:20 | ============================================================
2026-05-28 15:23:45 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-28 15:23:45 | INFO | run_etl:main:22 | ============================================================
2026-05-28 15:23:45 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 15:23:45 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-28 15:23:45 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 15:23:45 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 15:23:45 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-28 15:23:45 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 15:23:45 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-28 15:23:45 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-28 15:23:45 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-28 15:23:46 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-28 15:23:47 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-28 15:23:47 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-28 15:23:47 | INFO | load:run_full_load:162 | === DÉBUT CHARGEMENT DWH ===
2026-05-28 15:23:47 | INFO | load:load_dim_temps:24 | Chargement dim_temps...
2026-05-28 15:23:47 | INFO | load:load_dim_temps:55 | ✅ 436 dates chargées
2026-05-28 15:23:47 | INFO | load:load_dim_vehicule:59 | Chargement dim_vehicule...
2026-05-28 15:23:48 | INFO | load:load_dim_vehicule:85 | ✅ 325 véhicules chargés
2026-05-28 15:23:48 | INFO | load:load_dim_geographie:89 | Chargement dim_geographie...
2026-05-28 15:23:48 | ERROR | connection:get_db_connection:30 | Erreur base de données: ERREUR:  il n'existe aucune contrainte unique ou contrainte d'exclusion correspondant à la spécification ON CONFLICT

2026-05-28 15:48:35 | INFO | run_etl:main:20 | ============================================================
2026-05-28 15:48:35 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-28 15:48:35 | INFO | run_etl:main:22 | ============================================================
2026-05-28 15:48:35 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 15:48:35 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-28 15:48:35 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 15:48:35 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 15:48:35 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-28 15:48:35 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 15:48:35 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-28 15:48:35 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-28 15:48:35 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-28 15:48:35 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-28 15:48:36 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-28 15:48:36 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-28 15:48:36 | INFO | load:run_full_load:162 | === DÉBUT CHARGEMENT DWH ===
2026-05-28 15:48:36 | INFO | load:load_dim_temps:24 | Chargement dim_temps...
2026-05-28 15:48:36 | INFO | load:load_dim_temps:55 | ✅ 436 dates chargées
2026-05-28 15:48:36 | INFO | load:load_dim_vehicule:59 | Chargement dim_vehicule...
2026-05-28 15:48:36 | INFO | load:load_dim_vehicule:85 | ✅ 325 véhicules chargés
2026-05-28 15:48:36 | INFO | load:load_dim_geographie:89 | Chargement dim_geographie...
2026-05-28 15:48:37 | ERROR | connection:get_db_connection:30 | Erreur base de données: ERREUR:  il n'existe aucune contrainte unique ou contrainte d'exclusion correspondant à la spécification ON CONFLICT

2026-05-28 15:59:16 | INFO | run_etl:main:20 | ============================================================
2026-05-28 15:59:16 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-28 15:59:16 | INFO | run_etl:main:22 | ============================================================
2026-05-28 15:59:16 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 15:59:16 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-28 15:59:17 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 15:59:17 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 15:59:17 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-28 15:59:17 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 15:59:17 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-28 15:59:17 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-28 15:59:17 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-28 15:59:17 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-28 15:59:17 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-28 15:59:17 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-28 15:59:17 | INFO | load:run_full_load:162 | === DÉBUT CHARGEMENT DWH ===
2026-05-28 15:59:17 | INFO | load:load_dim_temps:24 | Chargement dim_temps...
2026-05-28 15:59:17 | INFO | load:load_dim_temps:55 | ✅ 436 dates chargées
2026-05-28 15:59:17 | INFO | load:load_dim_vehicule:59 | Chargement dim_vehicule...
2026-05-28 15:59:18 | INFO | load:load_dim_vehicule:85 | ✅ 325 véhicules chargés
2026-05-28 15:59:18 | INFO | load:load_dim_geographie:89 | Chargement dim_geographie...
2026-05-28 15:59:18 | INFO | load:load_dim_geographie:106 | ✅ 12 départements chargés
